asin,title,imgUrl,stars,price,listPrice,category_id
B0BQJ37CK2,UrbanX 2020 Headphones for Samsung Galaxy S10 S10e Plus with Type C Connector | Designed by AKG with Microphone and Volume Buttons (AKG Purple) - Purple,https://m.media-amazon.com/images/I/51GwEWFlRPL._AC_UL320_.jpg,0,18.04,0.0,71
B0B9YR7Q1R,Swimline Original 4-Pack Diving Toys LED Light-Up Glowing Sea Animal Piranha Catch The Fish Retrieval Game for Swimming Pool & Bath Tub for Kids Multi Color Flashing Underwater Dive Practice Learn,https://m.media-amazon.com/images/I/81FrWQbxSQL._AC_UL320_.jpg,0,14.3,16.09,270
B0BR5B5VQ1,"Feihe 14 Inch Portable TV/DVD Player Combo with HD Swivel LED Screen and Digital TV ATSC Tuner/USB/HDMI/AV/Audio, Built-in Battery, Dual Stereo Speakers",https://m.media-amazon.com/images/I/61zslBpo0QL._AC_UL320_.jpg,0,149.99,0.0,69
B00D2HO1MG,Card Game - Extra-Creative Word Making Fun for All Ages - A Parents' Choice Award Winner - Family/Kid-Friendly Card Game,https://m.media-amazon.com/images/I/81sdH3TM2QL._AC_UL320_.jpg,0,13.99,0.0,270
B0BXVJ1W22,"AV Access USB-C & HDMI KVM Switch 4 Computers 1 Monitor, Type-c Port Support 60W Charging for Laptop, 1080P@240Hz & 2560×1440@144Hz, Hotkey Switch,USB 3.0 Keyboard & Mouse Hub for Home Office",https://m.media-amazon.com/images/I/61HghqI4cWL._AC_UL320_.jpg,0,229.99,0.0,63
B0BNKXPNW2,"Brow Pencil for Gray Hair, Retractable Eyebrow Pencil with Brush for Older Women, Ultra Fine Mechanical Brow Definer Pencil with Angled Tip & Spoolie Brush, Long-lasting Waterproof, Grey, YES.EYE DO",https://m.media-amazon.com/images/I/51eWcQo3Z9L._AC_UL320_.jpg,0,8.99,0.0,48
B09GP3PVMY,"KZ EDX PRO HiFi Earphone 1DD Dual Magnetic Circuit Dynamic Drive Music Earbuds Sports Headphone Noise Cancelling Headset with Detachable Upgraded Cable (Black, with Mic)",https://m.media-amazon.com/images/I/41iRAfe2iLL._AC_UL320_.jpg,0,15.99,0.0,71
B019DZW3D4,Sexy Mini Skater Dress Mesh See Through Party Club Little Black Dress,https://m.media-amazon.com/images/I/61IkJP3phOL._MCnd_AC_UL320_.jpg,0,28.98,0.0,116
B0BSLRSD78,New York Puzzle Company - Lore Pemberton at Brambly Hedge - 500 Piece Jigsaw Puzzle,https://m.media-amazon.com/images/I/71KAcCmhKyL._AC_UL320_.jpg,0,26.0,0.0,227
B09WD3DWBB,Men's HIIT Woven 8in Shorts,https://m.media-amazon.com/images/I/51lZYTrt1KL._AC_UL320_.jpg,0,17.0,35.0,110
B095LR1DCS,Hooded Flannel Shirt Women Plaid Jacket Shacket Long Sleeve Button Down Blouse Casual Fashion Boyfriend Top Pocketed,https://m.media-amazon.com/images/I/81C-FitOXSL._AC_UL320_.jpg,0,32.99,0.0,116
